field_name,field_type,field_length,field_alias,nullability,field_domain,field_default,field_notes
identity,Integer,4,Standard Identity,NULLABLE,Identity,,
context,SmallInteger,2,Context,NULLABLE,Context,,
symbolset,SmallInteger,2,Symbol Set,NULLABLE,,,
entity,Integer,4,Unit Entity,NULLABLE,,,
modifier1,Integer,4,Modifier 1,NULLABLE,,,
modifier2,Integer,4,Modifier 2,NULLABLE,,,
specialentitysubtype,SmallInteger,2,Special Entity Subtype,NULLABLE,Land_Unit_Special_Entity_Subtype,,
echelon,Integer,4,Echelon,NULLABLE,Echelons,,
indicator,Integer,4,"HQ, Task Force, Feint/Dummy",NULLABLE,HQTFFD,,
uniquedesignation,String,30,Unique Designation,NULLABLE,,,
additionalinformation,String,20,Additional Information,NULLABLE,,,
staffcomment,String,20,Staff Comments,NULLABLE,,,
higherformation,String,21,Higher Formation,NULLABLE,,,
reinforced,SmallInteger,2,Reinforced or Reduced,NULLABLE,Reinforced,,
combateffectiveness,String,5,Combat Effectiveness,NULLABLE,CombatEffectiveness,,
credibility,SmallInteger,2,Credibility,NULLABLE,Credibility,,
reliability,String,2,Reliability,NULLABLE,Reliability,,
idmode,String,15,IFF/SIF/AIS,NULLABLE,,,
specialheadquarters,String,10,Special C2 Headquarters,NULLABLE,,,
direction,SmallInteger,2,Direction,NULLABLE,Direction,,
speed,SmallInteger,2,Speed,NULLABLE,,,
speedunit,String,3,Speed Unit,NULLABLE,SpeedUnits,,
x,Double,8,X Location,NULLABLE,,,
y,Double,8,Y Location,NULLABLE,,,
z,Double,8,Altitude/Depth,NULLABLE,,,
size,SmallInteger,2,Symbol Size,NULLABLE,,,
rotation,SmallInteger,2,Symbol Rotation,NULLABLE,,,
countrycode,String,3,Country Code,NULLABLE,,,
datetimevalid,Date,8,Date Time Valid,NULLABLE,,,
datetimeexpired,Date,8,Date Time Expired,NULLABLE,,,
createdby,String,50,Created By,NULLABLE,,,
createdtime,Date,8,Created Time,NULLABLE,,,
editedby,String,50,Edited By,NULLABLE,,,
editedtime,Date,8,Edited Time,NULLABLE,,,
